MovieID,Title,KoreanTitle,Plot,ReleaseYear,RunningTime,GradeID,GradeInKoreaID,Poster,ReleaseDateInKorea,BoxOfficeWWGross,BoxOfficeUSGross,Budget,OriginalAuthor,OriginalSource
1,Whiplash,위플래쉬,"뛰어난 잠재력을 가진 유망한 젊은 드러머가 꿈을 펼치기 위해 셰이퍼 음악학교에 입학한다. 최고의 지휘자이자 최고의 폭군인 플래처 교수는 폭언과 학대로 그를 한계까지 몰아붙인다.",2014,107,1,3,Whiplash.jpg,2015-03-12,33020729,13092000,3300000,"데미안 샤즐레","단편영화 <위플래쉬>"
2,"Birdman: Or (The Unexpected Virtue of Ignorance)",버드맨,"A washed-up actor, who once played an iconic superhero, battles his ego and attempts to recover his family, his career and himself in the days leading up to the opening of his Broadway play.",2014,119,1,4,Birdman.jpg,2015-03-05,103215094,42335698,22000000,NULL,NULL
3,"American Sniper","아메리칸 스나이퍼","네이비 씰의 저격수 크리스 카일은 전장에서 수 많은 생명을 구하고 전설로 남게 된다. 4번의 아프가니스탄 파병을 마치고 아내와 아이가 있는 집으로 돌아온 크리스는 전쟁이 남긴 상처를 깨닿게 된다.",2014,132,1,4,AmericanSniper.jpg,2015-01-14,547426372,350126372,58800000,NULL,NULL
4,Boyhood,보이후드,"메이슨의 삶, 어린 시절에서 대학에 입학할 때 까지의 이야기. 여섯살의 메이슨은 누나 사만다와 어머니 올리비아와 함께 살고 있다. 아빠는 일주일에 한번씩 들러 아이들과 친구처럼 놀아주지만 함께 살 수는 없다. 엄마의 이혼과 재혼, 직장 문제 등으로 계속 낮선 도시로 이사를 다녀야 하는 메이슨은 외로운 나날을 보내며 성장한다.",2014,165,1,3,Boyhood.jpg,2014-10-23,43237465,25359200,4000000,NULL,NULL
5,"The Imitation Game","이미테이션 게임","2차 대전 당시, 수학자 앨런 튜링은 이니그마 암호를 훌기위해 동료 수학자들과 협력하여 프로젝트를 수행한다.",2014,114,2,3,TheImitationGame.jpg,2015-02-17,219979959,91121452,14000000,NULL,NULL
6,"The Grand Budapest Hotel","그랜드 부다페스트 호텔","1927년 1차 세계대전 중, 세계 최고의 부호 마담 D.가 의문의 살인을 당하고, 그녀의 연인이자 전설적인 호텔 컨시어지인 구스타브가 용의자로 몰린다. 구스파브는 누명을 벗기 위해 신뢰하는 친구이자 호텔 로비보이인 제로에게 도움을 청한다.",2014,99,1,3,TheGrandBudapestHotel.jpg,2018-10-11,174600318,59100318,31000000,NULL,NULL
7,Selma,셀마,"A chronicle of Martin Luther King‘s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama in 1965.",2014,128,2,2,Selma.jpg,2015-07-23,66787908,52076908,20000000,NULL,NULL
8,"The Theory of Everything","사랑에 대한 모든 것","A look at the relationship between the famous physicist Stephen Hawking and his wife.",2014,123,2,2,TheTheoryofEverything.jpg,2014-12-10,121201940,35893537,15000000,NULL,NULL
9,Foxcatcher,폭스캐처,"The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.",2014,134,2,4,Foxcatcher.jpg,2015-02-05,15920642,12096300,24000000,NULL,NULL
10,"Still Alice","스틸 앨리스","언어학 교수로서 존경받는 삶을 살던 앨리스는 어느날 자신이 희귀한 알츠하이머에 걸렸다는 것을 알게된다. 자신의 모든 기억, 심지어 사랑하는 사람들까지도 모두 잊어버릴 수 있다는 두려움에 떨게되고 이는 가족 모두에게도 두려움으로 다가온다.",2014,101,2,2,StillAlice.jpg,2015-04-29,41797583,18754371,4100000,NULL,NULL
11,"Two Days, One Night","내일을 위한 시간","벨기에의 젊은 어머니 산드라는 직장 동료들이 해고에 대한 대가로 상당한 급여 보너스를 선택했다는 사실을 알게된다. 그녀는 1주일 동안 보너스를 대신 직장을 유지하도록 설득하려 한다.",2014,95,2,2,TwoDaysOneNight.jpg,2015-01-01,6860853,1433853,7000000,NULL,NULL
12,"Gone Girl","나를 찾아줘","With his wife‘s disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it‘s suspected that he may not be innocent.",2014,149,1,4,GoneGirl.jpg,2014-10-23,368061911,167767189,61000000,NULL,NULL
13,Wild,와일드,"한 여성이 그녀의 무절제한 생활과 슬픔에서 벗어나기 위해 1,100 마일을 혼자 걷는 멀고 힘든 여정을 떠난다.",2014,115,1,4,Wild.jpg,2015-01-22,52501541,37880356,0,NULL,NULL
14,"The Judge","더 저지","변호사 행크 팔머는 어머니의 부고 소식을 듣고 어린 시절의 집으로 돌아가는데, 마을의 판사인 아버지가 살인 혐의를 받는다. 행크는 진실을 찾기 위해 위해 노력하고 그 과정에서 소원했던 가족의 소중함을 깨닫는다.",2014,141,1,6,TheJudge.jpg,1900-01-01,212902372,128002372,50000000,NULL,NULL
15,"Into the Woods",숲속으로,"마녀는 자녀가 없는 빵 굽는 사람과 그의 아내에게 고전 동화에서 마법 아이템을 구해 가문에 가해진 저주를 건다.",2014,125,3,1,IntotheWoods.jpg,2014-12-24,38697217,32381217,8500000,NULL,NULL
16,Nightcrawler,"나이트 크롤러","When Lou Bloom, a driven man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",2014,117,1,4,Nightcrawler.jpg,2015-02-26,38697217,32381217,8500000,NULL,NULL
17,"Inherent Vice","인히어런트 바이스","In 1970, drug-fueled Los Angeles detective Larry "Doc" Sportello investigates the disappearance of a former girlfriend.",2014,148,1,NULL,InherentVice.jpg,NULL,11110975,8110975,20000000,NULL,NULL
18,"Mr. Turner","미스터 터너","An exploration of the last quarter century of the great, if eccentric, British painter J.M.W. Turner‘s life.",2014,150,1,NULL,MrTurner.jpg,NULL,5405500,3958500,0,NULL,NULL
19,Unbroken,언브로큰,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he‘s caught by the Japanese navy and sent to a prisoner-of-war camp.",2014,137,2,NULL,Unbroken.jpg,NULL,161459297,115637895,65000000,NULL,NULL
20,Ida,이다,"1960년대, 폴란드의 수녀원에서 가족의 존재조차 모르고 자란 소녀 안나는 이모의 존재를 알게되고, 독일 점령당시의 가족의 비밀을 알게된다.",2013,82,2,3,Ida.jpg,2021-02-10,3827060,3827060,0,NULL,NULL
21,Maleficent,말레피센트,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",2014,97,3,2,Maleficent.jpg,2014-05-29,758410378,241410378,180000000,NULL,NULL
22,Interstellar,인터스텔라,"환경 오염으로 지구가 더이상 인간이 살 수 없는 것이 되고, 인류는 웜홀을 통해 인류가 생존할 수 있는 방법을 찾으려 한다.",2014,169,3,2,Interstellar.jpg,2014-11-06,677471339,188020017,165000000,NULL,NULL
23,"The Hobbit: The Battle of the Five Armies","호빗: 다섯 군대 전투","Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.",2014,144,2,NULL,TheHobbitTheBattleoftheFiveArmies.jpg,2014-12-17,955119788,255119788,250000000,NULL,NULL
24,"Captain America: The Winter Soldier","캡틴 아메리카: 윈터 솔저","캡틴 아메리카는 현대 사회에서 자신의 역할을 받아들이기 위해 쉴드에서 여러 작전에 투입되어 노력하지만, 쉴드가 하이드라에 장악된 것을 곧 알게된다. 그는 블랙 위도우의 팀을 이루어 새로운 위협인 윈터 솔저와 맞선다.",2014,136,2,3,CaptainAmericaTheWinterSoldier.jpg,2014-03-26,714766572,259766572,170000000,NULL,NULL
25,"Dawn of the Planet of the Apes","혹성탈출: 반격의 서막","지명적인 질병 판데믹이 일어난 10년 후, 생존한 유인원의 무리가 인간 생존자 그룹과 전투를 벌인다.",2014,130,2,2,DawnofthePlanetoftheApes.jpg,2014-07-10,710644566,208545589,170000000,NULL,NULL
26,"Guardians of the Galaxy","가디언즈 오브 갤럭시","A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.",2014,121,2,2,GuardiansoftheGalaxy.jpg,2014-07-31,774176600,333176600,170000000,NULL,NULL
27,"X-Men: Days of Future Past","엑스맨: 데이즈 오브 퓨처 패스트","The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.",2014,131,2,2,X-MenDaysofFuturePast.jpg,2014-05-22,746045700,233921534,200000000,NULL,NULL
28,"Begin Again","비긴 어게인","딸이 보는 앞에서 망신을 당한 맨하탄의 음악 프로듀서와 실연의 아픔을 겪는 젊은 여성 싱어 송라이터가 만나 뉴욕에서 새로운 음악을 만들기 시작한다.",2013,104,1,3,BeginAgain.jpg,2014-08-13,63464861,16170632,25000000,NULL,NULL
29,"The Lego Movie",레고무비,"An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.",2014,100,3,NULL,TheLegoMovie.jpg,NULL,468760692,257760692,60000000,NULL,NULL
